Faculty,Male,Female,Other,Total
Arts and Humanities,1060,2600,10,3670
Brain Sciences,785,2720,0,3505
Built Environment,1980,2565,0,4545
Engineering Sciences,4800,2875,5,7680
Institute of Education,1660,5355,5,7020
Laws,430,695,0,1125
Life Sciences,1175,2590,0,3765
Mathematical and Physical Sciences,2840,2315,0,5155
Medical Sciences,1505,2260,0,3765
Population Health Sciences,400,1110,0,1510
Social and Historical Sciences,2805,3605,5,6415
Total,19440,28690,25,48155
